SMILES,RDKit_valid,MolWeight,QED
Fc1ccc(-c2cccc(CN3CCN(c4ncccn4)CC3)c2)cc1,True,348.42500000000007,0.7210297758100401
Fc1ccc(-c2cncc(CN3CCN(c4ccccn4)CC3)c2)cc1,True,348.42500000000007,0.7210297758100401
Fc1ccc(-c2cncc(CN3CCN(c4ncccn4)CC3)c2)cc1,True,349.41300000000007,0.7245117105806038
c1cnc(N2CCN(Cc3cccc4c3-c3ccccc3C4)CC2)nc1,True,342.4460000000002,0.5713560643749875
Cl.Clc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,True,363.2920000000001,0.7651471380879494
Fc1ccccc1-c1cccc(CN2CCN(c3ncccn3)CC2)c1,True,348.42500000000007,0.7210297758100401
Nc1cccc(-c2ccc(CCN3CCN(CC(=O)c4ccccc4)CC3)cc2)n1,True,400.52600000000007,0.6163000201844845
COc1cccc(-c2cccc(CN3CCN(c4ncccn4)CC3)c2)c1,True,360.46100000000007,0.696812086890712
Fc1cccc(-c2cccc(CN3CCN(c4ncccn4)CC3)c2)c1,True,348.42500000000007,0.7210297758100401
CC(C)Oc1cccnc1N(C)C1CCN(Cc2ccccc2)CC1.O=C(O)/C=C\C(=O)O,True,455.5550000000002,0.5812736082179221
Fc1ccc(-c2cncc(CN3CCN(c4ccccc4)CC3)c2)cc1,True,347.43700000000007,0.7047038908061152
Fc1ccc(-c2cncc(CN3CCN(c4cnccn4)CC3)c2)cc1,True,349.41300000000007,0.7245117105806038
O=C(NC[C@H]1CCCN1CCc1ccccc1)C1CCCCC1,True,314.47300000000024,0.8727167649165298
CSc1cccc(C(=O)NC[C@@H]2CCCN2CCc2ccccc2)c1,True,354.519,0.7668045106184642
O=C(NC[C@@H]1CCCN1CCc1ccccc1)c1ccccc1,True,308.425,0.8890392008667372
O=C(NC[C@@H]1CCCN1CCc1ccccc1)C1CCCCC1,True,314.47300000000024,0.8727167649165298
CSc1cccc(C(=O)NC[C@H]2CCCN2CCc2ccccc2)c1,True,354.519,0.7668045106184642
CCCN(CCC)C1CCc2cccc(O)c2C1,True,247.38199999999998,0.8620217161645692
O=C(NC[C@H]1CCCN1CCc1ccccc1)c1ccccc1,True,308.425,0.8890392008667372
Br.Clc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c(Cl)c1,True,442.2280000000002,0.6176672670800262
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,True,326.83100000000013,0.8001222420891722
Cl.c1ccc([C@H]2C[C@@H]2CN2CCN(c3ccccn3)CC2)cc1,True,329.87500000000006,0.856378629267454
Br.c1ccc([C@H]2C[C@@H]2CN2CCN(c3cccnc3)CC2)cc1,True,374.326,0.8156046329028273
Br.Fc1ccc([C@H]2C[C@@H]2CN2CCN(c3ccc(Cl)cc3)CC2)cc1,True,425.77300000000014,0.6812523466411293
Br.Cc1ccc(N2CCN(CC3CC3c3ccccc3)CC2)c(C)c1,True,401.3920000000001,0.7258387198684144
Br.COc1cc(Cl)ccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,True,437.80900000000025,0.6646795918068193
Br.Clc1cccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c1Cl,True,442.2280000000002,0.6176672670800262
Clc1ccc(N2CCN(C[C@@H]3C[C@H]3c3ccccc3)CC2)c(Cl)c1,True,361.31600000000014,0.7628092294657143
Br.COc1ccccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,True,403.3640000000002,0.7444923854610349
Br.COc1cccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c1,True,403.36400000000015,0.7444923854610349
Br.Oc1ccc([C@H]2C[C@@H]2CN2CCN(c3ccc(Cl)cc3Cl)CC2)cc1,True,458.2270000000002,0.682607247687214
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,True,375.87100000000015,0.759345285057915
Br.Clc1cccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c1,True,407.7830000000002,0.7150447133505391
Br.Clc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)cc1,True,407.7830000000002,0.7150447133505391
Cl.c1ccc([C@H]2C[C@@H]2CN2CCN(c3ncccn3)CC2)cc1,True,330.86300000000006,0.8626023385602022
Br.Fc1ccc([C@H]2C[C@@H]2CN2CCN(c3ccccc3Cl)CC2)cc1,True,425.77300000000014,0.6812523466411294
